province,Y-W,newcases,newcases_tminus1,newcases_tminus2,newcases_tminus3,newcases_tminus4,newcases_tplus1,newcases_tplus2,newcases_tplus4,spc_tminus1,spc_tminus2,spc_tminus3,spc_tminus4,temp_min_tminus1,temp_min_tminus2,temp_min_tminus3,temp_min_tminus4,temp_max_tminus1,temp_max_tminus2,temp_max_tminus3,temp_max_tminus4,retail_tminus1,retail_tminus2,retail_tminus3,retail_tminus4,grocery_tminus1,grocery_tminus2,grocery_tminus3,grocery_tminus4,parks_tminus1,parks_tminus2,parks_tminus3,parks_tminus4,transit_tminus1,transit_tminus2,transit_tminus3,transit_tminus4,workplaces_tminus1,workplaces_tminus2,workplaces_tminus3,workplaces_tminus4,residential_tminus1,residential_tminus2,residential_tminus3,residential_tminus4,2019employment_rate,2019intermunicipal_migration_rate,2019annual_contrib_margin,2019share_age_64,2019number_workplaces,Subdivision Name (en)
Central Finland,2022-01,3.9288831919052942,3.7764456911342563,3.1116770187307035,2.9847181950752724,2.7015147464695013,4.294049584640084,4.170571443571138,4.2138091575739445,3.865577039346477,3.1039963092843483,2.827029689931657,2.6851741202996147,-13.685714285714283,-17.8,-9.185714285714283,-12.842857142857143,-6.628571428571428,-11.12857142857143,-2.9857142857142853,-7.899999999999999,,,,,,,,,,,,,,,,,,,,,,,,,68.0,-262,94.5,23.2,106637,Central Finland
Kymenlaakso,2022-01,4.261222023629441,4.02812711484861,3.077253272450387,2.1099250406907446,2.2357177437722435,4.463658304153456,4.467894757319511,4.564531156736549,3.918342692069436,3.141602819833801,2.8898142374797477,2.726497279423526,-8.714285714285714,-19.214285714285715,-4.7,-12.5,-4.928571428571429,-11.4,-0.0428571428571428,-7.128571428571428,,,,,,,,,,,,,,,,,,,,,,,,,67.9,-1286,175.6,28.0,61440,Kymenlaakso
Lapland,2022-01,4.37730780900128,3.8012060697796564,3.0728769997616645,2.8987314513696942,2.9533456564669645,4.439325389832361,4.4433262847003725,4.472833400785564,3.867000544019848,3.2019712435085643,3.039696437805869,2.9682108437837345,-9.828571428571427,-13.8,-2.8857142857142857,-11.071428571428571,-1.7285714285714284,-5.757142857142857,2.4714285714285715,-5.285714285714286,,,,,,,,,,,,,,,,,,,,,,,,,70.3,-968,-0.3,25.3,71925,Lapland
Pirkanmaa,2022-01,4.460280474751966,4.140190963879975,3.6567524608977555,3.338536667954606,3.3124055058589166,4.450728635864954,4.548464993076912,4.271005552334644,3.9417777409140826,3.1657736439042234,2.8652287057911656,2.675218657105761,-7.785714285714286,-14.914285714285716,-2.542857142857143,-11.471428571428572,-1.957142857142857,-6.785714285714286,2.0142857142857142,-5.728571428571429,,,,,,,,,,,,,,,,,,,,,,,,,71.4,1886,305.6,21.8,217811,Pirkanmaa
Ostrobothnia,2022-01,4.724797692076257,4.29676989225622,3.0509155894757005,2.4442898677119222,2.2243271289490307,4.6919671871167825,4.828714803517813,4.849866930583028,3.780284849648918,3.064565579918538,2.8014077811907465,2.491292620786212,-9.042857142857144,-15.585714285714284,-2.5,-11.228571428571428,-3.1142857142857143,-6.985714285714287,1.5714285714285714,-5.985714285714286,,,,,,,,,,,,,,,,,,,,,,,,,76.7,-986,275.3,23.0,78711,Ostrobothnia
North Karelia,2022-01,4.210748728667551,3.6784386506625775,2.539971859322386,1.8723161603906655,1.1635684415114107,4.1015864581984856,4.180355554836045,3.4734173094756127,3.8043141345865767,3.010992274576872,2.790244487313699,2.644266989278011,-6.214285714285714,-14.12857142857143,-2.314285714285714,-9.042857142857144,-0.5428571428571428,-5.1000000000000005,3.585714285714286,-4.285714285714286,,,,,,,,,,,,,,,,,,,,,,,,,64.8,-636,345.7,26.5,60515,North Karelia
Northern Ostrobothnia,2022-01,3.9303320038395313,3.7395647356054402,3.4582524645003017,3.554642208683592,3.6545030403742587,3.996429804553778,3.965302509548188,4.116806248637347,3.775980568347018,2.9719841025378644,2.7664219899957496,2.614364410495856,-9.685714285714283,-16.942857142857143,-3.3714285714285714,-13.94285714285714,-4.685714285714285,-9.742857142857144,0.6428571428571429,-8.385714285714286,,,,,,,,,,,,,,,,,,,,,,,,,69.5,-862,185.0,19.6,164619,Northern Ostrobothnia
Northern Savonia,2022-01,3.885493702219502,3.5768647099529973,2.636913023838609,2.6540648036238847,2.0129018116230672,3.9928519703839638,3.9307786065383645,3.935511124117353,3.7730830790079777,2.975344968861923,2.7133659212118557,2.6242940919241224,-11.514285714285714,-17.95714285714286,-4.114285714285714,-13.37142857142857,-2.5142857142857147,-6.8,1.3857142857142857,-6.242857142857143,,,,,,,,,,,,,,,,,,,,,,,,,69.5,-543,162.0,25.3,98975,Northern Savonia
Päijänne Tavastia,2022-01,4.358304610668161,3.977592269011413,3.1955702540310362,3.1190989043904636,3.183559951470109,4.504463180432634,4.583985769454825,4.242353175707238,3.980111066470875,3.1912905830438434,2.8443203027544373,2.6692523830220374,-9.857142857142858,-20.071428571428573,-3.971428571428572,-14.6,-4.442857142857143,-10.514285714285716,0.157142857142857,-8.5,,,,,,,,,,,,,,,,,,,,,,,,,69.5,-591,222.7,26.7,77081,Päijänne Tavastia
Satakunta,2022-01,4.03460307337271,3.996089817969129,3.5072376528643434,2.9691767372859594,2.6051967563503635,4.3971231403692626,4.552942937492734,4.415248386503743,3.9681552514177367,3.240275214693133,2.932497347123156,2.78405472240289,-5.857142857142857,-15.328571428571427,-1.385714285714286,-8.571428571428571,0.6571428571428571,-5.171428571428572,4.885714285714286,-3.9571428571428577,,,,,,,,,,,,,,,,,,,,,,,,,71.2,-1141,63.9,27.2,86401,Satakunta
Uusimaa,2022-01,5.25608269529365,5.021271402845806,4.339880845246579,3.693209670203308,3.239930343102672,5.184209014987621,4.997951431881978,4.574849695162128,3.83646299251097,3.0413670318834747,2.8072783455530934,2.690941436050218,-7.771428571428571,-15.028571428571428,-2.8000000000000003,-11.214285714285714,-2.357142857142857,-6.671428571428572,1.8285714285714287,-6.214285714285714,,,,,,,,,,,,,,,,,,,,,,,,,75.2,8144,601.0,17.6,836622,Uusimaa
Southwest Finland,2022-01,4.322631403094502,3.855237705697345,3.2584899419252324,2.9493191124853135,2.680013577447454,4.489955051190648,4.3941352080772536,4.307360286525402,4.052577600833349,3.3126877548896987,2.9534915076655586,2.750701803853181,-6.671428571428572,-13.4,-0.9571428571428572,-6.871428571428572,-0.8142857142857143,-5.871428571428571,3.414285714285714,-3.185714285714286,,,,,,,,,,,,,,,,,,,,,,,,,72.4,887,74.1,23.3,202061,Southwest Finland
South Karelia,2022-02,3.996714385688795,3.7647335150621353,3.5032956742113006,2.513302980616951,2.6163044388301113,4.158141328391123,4.30563612827236,4.590472604403336,4.250440631708132,3.8977718244921817,3.093744777785797,2.7002025129567957,-14.071428571428571,-8.242857142857142,-19.957142857142856,-4.385714285714286,-8.042857142857143,-4.428571428571429,-10.014285714285714,0.1,,,,,,,,,,,,,,,,,,,,,,,,,67.4,-488,387.3,27.4,47995,South Karelia
Southern Ostrobothnia,2022-02,4.332700124510856,4.141208118773819,3.6431106772376647,2.8101736329359372,2.108263643509665,4.672444520311983,4.415933282181839,4.319629976319415,4.327356192163576,3.966031432907483,3.1684329709625394,2.8925996338922584,-15.157142857142858,-9.342857142857142,-16.37142857142857,-4.557142857142858,-7.714285714285714,-2.685714285714286,-5.428571428571429,2.085714285714286,,,,,,,,,,,,,,,,,,,,,,,,,73.8,-935,123.6,25.4,77419,Southern Ostrobothnia
Southern Savonia,2022-02,3.838164583903755,3.668827372186168,3.2234326525549886,2.4067480749663956,2.0518279345317065,4.168232234966018,4.376978382928279,4.898437639392556,4.210169610180613,3.870219927827887,3.052176592274295,2.8035575574513265,-18.928571428571427,-10.685714285714283,-17.3,-5.585714285714286,-10.385714285714286,-5.171428571428572,-9.0,0.2428571428571427,,,,,,,,,,,,,,,,,,,,,,,,,68.9,-1228,143.5,30.9,50145,Southern Savonia
Kainuu,2022-02,4.9039326396359115,4.227379534113585,3.055571222430076,1.5015189930161281,2.110950376724052,4.824249225796569,4.699036225429373,4.568977168726278,4.186617141122552,3.843463295557719,3.132309440004017,2.94332346323553,-11.771428571428572,-9.342857142857143,-17.52857142857143,-3.142857142857143,-5.6000000000000005,-3.628571428571429,-8.942857142857141,0.9571428571428572,,,,,,,,,,,,,,,,,,,,,,,,,68.3,-462,857.2,28.5,27218,Kainuu
Tavastia Proper,2022-02,4.517157554851779,4.515876372052724,4.188987887525842,3.1348073081497208,3.06071065687151,4.487926299535433,4.236716899882976,4.029349525227609,4.353142474914207,4.009946424762378,3.3085778868261904,2.971136036577437,-19.485714285714288,-12.914285714285716,-16.814285714285713,-7.928571428571429,-13.071428571428571,-7.085714285714286,-10.914285714285716,-3.257142857142857,,,,,,,,,,,,,,,,,,,,,,,,,73.1,-69,197.5,25.3,64199,Tavastia Proper
Central Ostrobothnia,2022-02,3.9027395933953968,3.7173246474234265,3.280638684746849,2.546846670664888,2.725708283950262,4.353861893224886,4.456230259889765,4.44765827137169,4.362544953458997,3.969556019906696,3.1498595394726365,2.8555264488229515,-18.342857142857145,-11.6,-20.514285714285712,-5.5857142857142845,-12.042857142857144,-6.171428571428572,-11.771428571428572,-0.7714285714285714,,,,,,,,,,,,,,,,,,,,,,,,,74.3,-450,189.5,23.4,28177,Central Ostrobothnia
Central Finland,2022-02,4.294049584640084,3.9288831919052942,3.7764456911342563,3.1116770187307035,2.9847181950752724,4.170571443571138,4.205090999644982,4.234215160987215,4.249418005749254,3.865577039346477,3.1039963092843483,2.827029689931657,-20.7,-13.685714285714283,-17.8,-9.185714285714283,-13.014285714285714,-6.628571428571428,-11.12857142857143,-2.9857142857142853,,,,,,,,,,,,,,,,,,,,,,,,,68.0,-262,94.5,23.2,106637,Central Finland
Kymenlaakso,2022-02,4.463658304153456,4.261222023629441,4.02812711484861,3.077253272450387,2.1099250406907446,4.467894757319511,4.488811920433206,4.665450041890256,4.265217402628474,3.918342692069436,3.141602819833801,2.8898142374797477,-16.571428571428573,-8.714285714285714,-19.214285714285715,-4.7,-10.214285714285714,-4.928571428571429,-11.4,-0.0428571428571428,,,,,,,,,,,,,,,,,,,,,,,,,67.9,-1286,175.6,28.0,61440,Kymenlaakso
Lapland,2022-02,4.439325389832361,4.37730780900128,3.8012060697796564,3.0728769997616645,2.8987314513696942,4.4433262847003725,4.583435390139827,4.515213521907141,4.218887407757105,3.867000544019848,3.2019712435085643,3.039696437805869,-12.27142857142857,-9.828571428571427,-13.8,-2.8857142857142857,-6.685714285714286,-1.7285714285714284,-5.757142857142857,2.4714285714285715,,,,,,,,,,,,,,,,,,,,,,,,,70.3,-968,-0.3,25.3,71925,Lapland
Pirkanmaa,2022-02,4.450728635864954,4.460280474751966,4.140190963879975,3.6567524608977555,3.338536667954606,4.548464993076912,4.273140432017267,4.2929363415931725,4.284384911303158,3.9417777409140826,3.1657736439042234,2.8652287057911656,-10.714285714285714,-7.785714285714286,-14.914285714285716,-2.542857142857143,-4.799999999999999,-1.957142857142857,-6.785714285714286,2.0142857142857142,,,,,,,,,,,,,,,,,,,,,,,,,71.4,1886,305.6,21.8,217811,Pirkanmaa
Ostrobothnia,2022-02,4.6919671871167825,4.724797692076257,4.29676989225622,3.0509155894757005,2.4442898677119222,4.828714803517813,4.771143781917894,4.784068301403472,4.167110046579368,3.780284849648918,3.064565579918538,2.8014077811907465,-9.757142857142856,-9.042857142857144,-15.585714285714284,-2.5,-4.885714285714286,-3.1142857142857143,-6.985714285714287,1.5714285714285714,,,,,,,,,,,,,,,,,,,,,,,,,76.7,-986,275.3,23.0,78711,Ostrobothnia
North Karelia,2022-02,4.1015864581984856,4.210748728667551,3.6784386506625775,2.539971859322386,1.8723161603906655,4.180355554836045,3.7977046280940305,3.6534120728897275,4.188674367599683,3.8043141345865767,3.010992274576872,2.790244487313699,-10.528571428571428,-6.214285714285714,-14.12857142857143,-2.314285714285714,-3.6,-0.5428571428571428,-5.1000000000000005,3.585714285714286,,,,,,,,,,,,,,,,,,,,,,,,,64.8,-636,345.7,26.5,60515,North Karelia
Northern Ostrobothnia,2022-02,3.996429804553778,3.9303320038395313,3.7395647356054402,3.4582524645003017,3.554642208683592,3.965302509548188,3.944467293989521,4.260018241710802,4.263485609240576,3.775980568347018,2.9719841025378644,2.7664219899957496,-12.085714285714284,-9.685714285714283,-16.942857142857143,-3.3714285714285714,-6.057142857142857,-4.685714285714285,-9.742857142857144,0.6428571428571429,,,,,,,,,,,,,,,,,,,,,,,,,69.5,-862,185.0,19.6,164619,Northern Ostrobothnia
Northern Savonia,2022-02,3.9928519703839638,3.885493702219502,3.5768647099529973,2.636913023838609,2.6540648036238847,3.9307786065383645,3.884666111285201,3.9472453501657694,4.203989667008108,3.7730830790079777,2.975344968861923,2.7133659212118557,-15.37142857142857,-11.514285714285714,-17.95714285714286,-4.114285714285714,-8.357142857142858,-2.5142857142857147,-6.8,1.3857142857142857,,,,,,,,,,,,,,,,,,,,,,,,,69.5,-543,162.0,25.3,98975,Northern Savonia
Päijänne Tavastia,2022-02,4.504463180432634,4.358304610668161,3.977592269011413,3.1955702540310362,3.1190989043904636,4.583985769454825,4.612369280796619,4.415719516373483,4.3129830984744375,3.980111066470875,3.1912905830438434,2.8443203027544373,-13.757142857142858,-9.857142857142858,-20.071428571428573,-3.971428571428572,-7.3,-4.442857142857143,-10.514285714285716,0.157142857142857,,,,,,,,,,,,,,,,,,,,,,,,,69.5,-591,222.7,26.7,77081,Päijänne Tavastia
Satakunta,2022-02,4.3971231403692626,4.03460307337271,3.996089817969129,3.5072376528643434,2.9691767372859594,4.552942937492734,4.554897454944703,4.475690017197826,4.347798324138982,3.9681552514177367,3.240275214693133,2.932497347123156,-8.028571428571428,-5.857142857142857,-15.328571428571427,-1.385714285714286,-1.8,0.6571428571428571,-5.171428571428572,4.885714285714286,,,,,,,,,,,,,,,,,,,,,,,,,71.2,-1141,63.9,27.2,86401,Satakunta
Uusimaa,2022-02,5.184209014987621,5.25608269529365,5.021271402845806,4.339880845246579,3.693209670203308,4.997951431881978,4.710510792809698,4.483504625868059,4.213164441773848,3.83646299251097,3.0413670318834747,2.8072783455530934,-10.5,-7.771428571428571,-15.028571428571428,-2.8000000000000003,-4.885714285714286,-2.357142857142857,-6.671428571428572,1.8285714285714287,,,,,,,,,,,,,,,,,,,,,,,,,75.2,8144,601.0,17.6,836622,Uusimaa
Southwest Finland,2022-02,4.489955051190648,4.322631403094502,3.855237705697345,3.2584899419252324,2.9493191124853135,4.3941352080772536,4.30875824673244,4.324008191646444,4.359933850452335,4.052577600833349,3.3126877548896987,2.9534915076655586,-7.5,-6.671428571428572,-13.4,-0.9571428571428572,-1.4857142857142858,-0.8142857142857143,-5.871428571428571,3.414285714285714,,,,,,,,,,,,,,,,,,,,,,,,,72.4,887,74.1,23.3,202061,Southwest Finland
South Karelia,2022-03,4.158141328391123,3.996714385688795,3.7647335150621353,3.5032956742113006,2.513302980616951,4.30563612827236,4.349316093591258,4.725632557766499,4.3719327933303775,4.250440631708132,3.8977718244921817,3.093744777785797,-8.2,-14.071428571428571,-8.242857142857142,-19.957142857142856,-0.1714285714285714,-8.042857142857143,-4.428571428571429,-10.014285714285714,,,,,,,,,,,,,,,,,,,,,,,,,67.4,-488,387.3,27.4,47995,South Karelia
Southern Ostrobothnia,2022-03,4.672444520311983,4.332700124510856,4.141208118773819,3.6431106772376647,2.8101736329359372,4.415933282181839,4.152728841319113,4.176978038139762,4.4357019501969575,4.327356192163576,3.966031432907483,3.1684329709625394,-4.914285714285714,-15.157142857142858,-9.342857142857142,-16.37142857142857,1.9428571428571428,-7.714285714285714,-2.685714285714286,-5.428571428571429,,,,,,,,,,,,,,,,,,,,,,,,,73.8,-935,123.6,25.4,77419,Southern Ostrobothnia
Southern Savonia,2022-03,4.168232234966018,3.838164583903755,3.668827372186168,3.2234326525549886,2.4067480749663956,4.376978382928279,4.494732995318637,5.094317573719084,4.346014905953183,4.210169610180613,3.870219927827887,3.052176592274295,-5.842857142857143,-18.928571428571427,-10.685714285714283,-17.3,0.7,-10.385714285714286,-5.171428571428572,-9.0,,,,,,,,,,,,,,,,,,,,,,,,,68.9,-1228,143.5,30.9,50145,Southern Savonia
Kainuu,2022-03,4.824249225796569,4.9039326396359115,4.227379534113585,3.055571222430076,1.5015189930161281,4.699036225429373,4.612852146781714,4.601712551937291,4.267073403996394,4.186617141122552,3.843463295557719,3.132309440004017,-7.614285714285715,-11.771428571428572,-9.342857142857143,-17.52857142857143,0.0714285714285714,-5.6000000000000005,-3.628571428571429,-8.942857142857141,,,,,,,,,,,,,,,,,,,,,,,,,68.3,-462,857.2,28.5,27218,Kainuu
Tavastia Proper,2022-03,4.487926299535433,4.517157554851779,4.515876372052724,4.188987887525842,3.1348073081497208,4.236716899882976,3.9365446770967223,3.9296564724190493,4.469798994782543,4.353142474914207,4.009946424762378,3.3085778868261904,-9.457142857142856,-19.485714285714288,-12.914285714285716,-16.814285714285713,-1.7,-13.071428571428571,-7.085714285714286,-10.914285714285716,,,,,,,,,,,,,,,,,,,,,,,,,73.1,-69,197.5,25.3,64199,Tavastia Proper
Central Ostrobothnia,2022-03,4.353861893224886,3.9027395933953968,3.7173246474234265,3.280638684746849,2.546846670664888,4.456230259889765,4.407252197861302,4.501290534178862,4.471375958492938,4.362544953458997,3.969556019906696,3.1498595394726365,-11.357142857142858,-18.342857142857145,-11.6,-20.514285714285712,-3.142857142857143,-12.042857142857144,-6.171428571428572,-11.771428571428572,,,,,,,,,,,,,,,,,,,,,,,,,74.3,-450,189.5,23.4,28177,Central Ostrobothnia
Central Finland,2022-03,4.170571443571138,4.294049584640084,3.9288831919052942,3.7764456911342563,3.1116770187307035,4.205090999644982,4.2138091575739445,4.0172004856687975,4.375920396239762,4.249418005749254,3.865577039346477,3.1039963092843483,-10.385714285714286,-20.7,-13.685714285714283,-17.8,-0.6142857142857142,-13.014285714285714,-6.628571428571428,-11.12857142857143,,,,,,,,,,,,,,,,,,,,,,,,,68.0,-262,94.5,23.2,106637,Central Finland
Kymenlaakso,2022-03,4.467894757319511,4.463658304153456,4.261222023629441,4.02812711484861,3.077253272450387,4.488811920433206,4.564531156736549,4.751290632967168,4.383103474044554,4.265217402628474,3.918342692069436,3.141602819833801,-8.542857142857143,-16.571428571428573,-8.714285714285714,-19.214285714285715,-1.1,-10.214285714285714,-4.928571428571429,-11.4,,,,,,,,,,,,,,,,,,,,,,,,,67.9,-1286,175.6,28.0,61440,Kymenlaakso
Lapland,2022-03,4.4433262847003725,4.439325389832361,4.37730780900128,3.8012060697796564,3.0728769997616645,4.583435390139827,4.472833400785564,4.695503029728667,4.379879616527842,4.218887407757105,3.867000544019848,3.2019712435085643,-3.142857142857143,-12.27142857142857,-9.828571428571427,-13.8,2.5,-6.685714285714286,-1.7285714285714284,-5.757142857142857,,,,,,,,,,,,,,,,,,,,,,,,,70.3,-968,-0.3,25.3,71925,Lapland
Pirkanmaa,2022-03,4.548464993076912,4.450728635864954,4.460280474751966,4.140190963879975,3.6567524608977555,4.273140432017267,4.271005552334644,4.1633653315906685,4.429852977816146,4.284384911303158,3.9417777409140826,3.1657736439042234,-6.128571428571428,-10.714285714285714,-7.785714285714286,-14.914285714285716,1.342857142857143,-4.799999999999999,-1.957142857142857,-6.785714285714286,,,,,,,,,,,,,,,,,,,,,,,,,71.4,1886,305.6,21.8,217811,Pirkanmaa
Ostrobothnia,2022-03,4.828714803517813,4.6919671871167825,4.724797692076257,4.29676989225622,3.0509155894757005,4.771143781917894,4.849866930583028,4.91076442756341,4.316974062412741,4.167110046579368,3.780284849648918,3.064565579918538,-6.842857142857143,-9.757142857142856,-9.042857142857144,-15.585714285714284,0.7285714285714285,-4.885714285714286,-3.1142857142857143,-6.985714285714287,,,,,,,,,,,,,,,,,,,,,,,,,76.7,-986,275.3,23.0,78711,Ostrobothnia
North Karelia,2022-03,4.180355554836045,4.1015864581984856,4.210748728667551,3.6784386506625775,2.539971859322386,3.7977046280940305,3.4734173094756127,3.807256402508418,4.387300031538241,4.188674367599683,3.8043141345865767,3.010992274576872,-3.6000000000000005,-10.528571428571428,-6.214285714285714,-14.12857142857143,2.9714285714285715,-3.6,-0.5428571428571428,-5.1000000000000005,,,,,,,,,,,,,,,,,,,,,,,,,64.8,-636,345.7,26.5,60515,North Karelia
Northern Ostrobothnia,2022-03,3.965302509548188,3.996429804553778,3.9303320038395313,3.7395647356054402,3.4582524645003017,3.944467293989521,4.116806248637347,4.25316979814413,4.470561103893163,4.263485609240576,3.775980568347018,2.9719841025378644,-8.185714285714285,-12.085714285714284,-9.685714285714283,-16.942857142857143,-1.0571428571428572,-6.057142857142857,-4.685714285714285,-9.742857142857144,,,,,,,,,,,,,,,,,,,,,,,,,69.5,-862,185.0,19.6,164619,Northern Ostrobothnia
Northern Savonia,2022-03,3.9307786065383645,3.9928519703839638,3.885493702219502,3.5768647099529973,2.636913023838609,3.884666111285201,3.935511124117353,3.8929113604229633,4.394673162437631,4.203989667008108,3.7730830790079777,2.975344968861923,-7.442857142857143,-15.37142857142857,-11.514285714285714,-17.95714285714286,1.6285714285714286,-8.357142857142858,-2.5142857142857147,-6.8,,,,,,,,,,,,,,,,,,,,,,,,,69.5,-543,162.0,25.3,98975,Northern Savonia
Päijänne Tavastia,2022-03,4.583985769454825,4.504463180432634,4.358304610668161,3.977592269011413,3.1955702540310362,4.612369280796619,4.242353175707238,4.423325997485446,4.4283487554634045,4.3129830984744375,3.980111066470875,3.1912905830438434,-8.614285714285714,-13.757142857142858,-9.857142857142858,-20.071428571428573,-0.4428571428571427,-7.3,-4.442857142857143,-10.514285714285716,,,,,,,,,,,,,,,,,,,,,,,,,69.5,-591,222.7,26.7,77081,Päijänne Tavastia
Satakunta,2022-03,4.552942937492734,4.3971231403692626,4.03460307337271,3.996089817969129,3.5072376528643434,4.554897454944703,4.415248386503743,4.386203752703329,4.452511448855964,4.347798324138982,3.9681552514177367,3.240275214693133,-3.042857142857143,-8.028571428571428,-5.857142857142857,-15.328571428571427,3.628571428571429,-1.8,0.6571428571428571,-5.171428571428572,,,,,,,,,,,,,,,,,,,,,,,,,71.2,-1141,63.9,27.2,86401,Satakunta
Uusimaa,2022-03,4.997951431881978,5.184209014987621,5.25608269529365,5.021271402845806,4.339880845246579,4.710510792809698,4.574849695162128,4.310035464747664,4.360610151428907,4.213164441773848,3.83646299251097,3.0413670318834747,-6.4,-10.5,-7.771428571428571,-15.028571428571428,1.0,-4.885714285714286,-2.357142857142857,-6.671428571428572,,,,,,,,,,,,,,,,,,,,,,,,,75.2,8144,601.0,17.6,836622,Uusimaa
Southwest Finland,2022-03,4.3941352080772536,4.489955051190648,4.322631403094502,3.855237705697345,3.2584899419252324,4.30875824673244,4.307360286525402,4.077136909901987,4.474692441262656,4.359933850452335,4.052577600833349,3.3126877548896987,-3.9,-7.5,-6.671428571428572,-13.4,2.6142857142857143,-1.4857142857142858,-0.8142857142857143,-5.871428571428571,,,,,,,,,,,,,,,,,,,,,,,,,72.4,887,74.1,23.3,202061,Southwest Finland
South Karelia,2022-04,4.30563612827236,4.158141328391123,3.996714385688795,3.7647335150621353,3.5032956742113006,4.349316093591258,4.590472604403336,4.469054187933743,4.419237691563307,4.3719327933303775,4.250440631708132,3.8977718244921817,-7.528571428571429,-8.2,-14.071428571428571,-8.242857142857142,-1.0571428571428572,-0.1714285714285714,-8.042857142857143,-4.428571428571429,,,,,,,,,,,,,,,,,,,,,,,,,67.4,-488,387.3,27.4,47995,South Karelia
Southern Ostrobothnia,2022-04,4.415933282181839,4.672444520311983,4.332700124510856,4.141208118773819,3.6431106772376647,4.152728841319113,4.319629976319415,4.121144162779906,4.515581072091663,4.4357019501969575,4.327356192163576,3.966031432907483,-5.485714285714286,-4.914285714285714,-15.157142857142858,-9.342857142857142,1.9714285714285715,1.9428571428571428,-7.714285714285714,-2.685714285714286,,,,,,,,,,,,,,,,,,,,,,,,,73.8,-935,123.6,25.4,77419,Southern Ostrobothnia
Southern Savonia,2022-04,4.376978382928279,4.168232234966018,3.838164583903755,3.668827372186168,3.2234326525549886,4.494732995318637,4.898437639392556,4.826802566065981,4.364176649509861,4.346014905953183,4.210169610180613,3.870219927827887,-7.314285714285714,-5.842857142857143,-18.928571428571427,-10.685714285714283,1.3571428571428572,0.7,-10.385714285714286,-5.171428571428572,,,,,,,,,,,,,,,,,,,,,,,,,68.9,-1228,143.5,30.9,50145,Southern Savonia
Kainuu,2022-04,4.699036225429373,4.824249225796569,4.9039326396359115,4.227379534113585,3.055571222430076,4.612852146781714,4.568977168726278,4.638821725018559,4.316486534378898,4.267073403996394,4.186617141122552,3.843463295557719,-5.842857142857143,-7.614285714285715,-11.771428571428572,-9.342857142857143,-0.3857142857142857,0.0714285714285714,-5.6000000000000005,-3.628571428571429,,,,,,,,,,,,,,,,,,,,,,,,,68.3,-462,857.2,28.5,27218,Kainuu
Tavastia Proper,2022-04,4.236716899882976,4.487926299535433,4.517157554851779,4.515876372052724,4.188987887525842,3.9365446770967223,4.029349525227609,3.2882079264436608,4.503057148569683,4.469798994782543,4.353142474914207,4.009946424762378,-9.585714285714284,-9.457142857142856,-19.485714285714288,-12.914285714285716,-1.0428571428571427,-1.7,-13.071428571428571,-7.085714285714286,,,,,,,,,,,,,,,,,,,,,,,,,73.1,-69,197.5,25.3,64199,Tavastia Proper
Central Ostrobothnia,2022-04,4.456230259889765,4.353861893224886,3.9027395933953968,3.7173246474234265,3.280638684746849,4.407252197861302,4.44765827137169,4.315306527511506,4.545322328978943,4.471375958492938,4.362544953458997,3.969556019906696,-6.528571428571429,-11.357142857142858,-18.342857142857145,-11.6,-1.5714285714285714,-3.142857142857143,-12.042857142857144,-6.171428571428572,,,,,,,,,,,,,,,,,,,,,,,,,74.3,-450,189.5,23.4,28177,Central Ostrobothnia
Central Finland,2022-04,4.205090999644982,4.170571443571138,4.294049584640084,3.9288831919052942,3.7764456911342563,4.2138091575739445,4.234215160987215,3.3515800561784994,4.454532434576963,4.375920396239762,4.249418005749254,3.865577039346477,-9.914285714285713,-10.385714285714286,-20.7,-13.685714285714283,-0.1142857142857144,-0.6142857142857142,-13.014285714285714,-6.628571428571428,,,,,,,,,,,,,,,,,,,,,,,,,68.0,-262,94.5,23.2,106637,Central Finland
Kymenlaakso,2022-04,4.488811920433206,4.467894757319511,4.463658304153456,4.261222023629441,4.02812711484861,4.564531156736549,4.665450041890256,4.54840990027214,4.430504317921871,4.383103474044554,4.265217402628474,3.918342692069436,-7.585714285714286,-8.542857142857143,-16.571428571428573,-8.714285714285714,-1.0142857142857145,-1.1,-10.214285714285714,-4.928571428571429,,,,,,,,,,,,,,,,,,,,,,,,,67.9,-1286,175.6,28.0,61440,Kymenlaakso
Lapland,2022-04,4.583435390139827,4.4433262847003725,4.439325389832361,4.37730780900128,3.8012060697796564,4.472833400785564,4.515213521907141,4.219794431477427,4.408663470090931,4.379879616527842,4.218887407757105,3.867000544019848,-3.7,-3.142857142857143,-12.27142857142857,-9.828571428571427,2.4714285714285715,2.5,-6.685714285714286,-1.7285714285714284,,,,,,,,,,,,,,,,,,,,,,,,,70.3,-968,-0.3,25.3,71925,Lapland
Pirkanmaa,2022-04,4.273140432017267,4.548464993076912,4.450728635864954,4.460280474751966,4.140190963879975,4.271005552334644,4.2929363415931725,3.45983661355089,4.478867769258008,4.429852977816146,4.284384911303158,3.9417777409140826,-5.671428571428572,-6.128571428571428,-10.714285714285714,-7.785714285714286,0.5142857142857143,1.342857142857143,-4.799999999999999,-1.957142857142857,,,,,,,,,,,,,,,,,,,,,,,,,71.4,1886,305.6,21.8,217811,Pirkanmaa
