date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,Y-W,province
2021-07-05,35.57142857142857,44.57142857142857,0.0,13.714285714285714,-36.285714285714285,1.1428571428571428,2021-27,Southern Ostrobothnia
2021-07-12,40.714285714285715,47.0,0.0,20.571428571428573,-38.42857142857143,0.5714285714285714,2021-28,Southern Ostrobothnia
2021-07-19,44.285714285714285,47.714285714285715,0.0,16.428571428571427,-37.42857142857143,1.4285714285714286,2021-29,Southern Ostrobothnia
2021-07-26,33.42857142857143,38.857142857142854,0.0,10.142857142857142,-35.42857142857143,2.5714285714285716,2021-30,Southern Ostrobothnia
2021-08-02,32.42857142857143,36.285714285714285,0.0,9.714285714285714,-28.428571428571427,1.5714285714285714,2021-31,Southern Ostrobothnia
2021-08-09,24.0,29.714285714285715,0.0,12.571428571428571,-23.428571428571427,1.2857142857142858,2021-32,Southern Ostrobothnia
2021-08-16,8.714285714285714,20.714285714285715,0.0,12.857142857142858,-21.142857142857142,2.2857142857142856,2021-33,Southern Ostrobothnia
2021-08-23,4.571428571428571,17.0,0.0,-1.2857142857142858,-16.714285714285715,0.8571428571428571,2021-34,Southern Ostrobothnia
2021-08-30,13.857142857142858,16.428571428571427,0.0,0.2857142857142857,-12.857142857142858,1.7142857142857142,2021-35,Southern Ostrobothnia
2021-09-06,6.428571428571429,14.571428571428571,9.428571428571429,-4.571428571428571,-11.714285714285714,2.0,2021-36,Southern Ostrobothnia
2021-09-13,4.142857142857143,11.714285714285714,0.0,-3.0,-14.714285714285714,0.8571428571428571,2021-37,Southern Ostrobothnia
2021-09-20,3.0,9.142857142857142,0.0,-5.714285714285714,-14.142857142857142,1.2857142857142858,2021-38,Southern Ostrobothnia
2021-09-27,-2.142857142857143,6.428571428571429,13.714285714285714,-13.571428571428571,-17.857142857142858,1.4285714285714286,2021-39,Southern Ostrobothnia
2021-10-04,0.0,2.857142857142857,11.571428571428571,-17.428571428571427,-18.285714285714285,2.5714285714285716,2021-40,Southern Ostrobothnia
2021-10-11,-2.4285714285714284,3.4285714285714284,14.285714285714286,-11.428571428571429,-23.142857142857142,2.7142857142857144,2021-41,Southern Ostrobothnia
2021-10-18,-3.5714285714285716,4.428571428571429,8.428571428571429,-10.714285714285714,-32.285714285714285,4.571428571428571,2021-42,Southern Ostrobothnia
2021-10-25,-2.4285714285714284,5.571428571428571,11.285714285714286,-13.857142857142858,-19.142857142857142,2.2857142857142856,2021-43,Southern Ostrobothnia
2021-11-01,-0.8571428571428571,3.7142857142857144,6.571428571428571,-15.285714285714286,-20.142857142857142,3.142857142857143,2021-44,Southern Ostrobothnia
2021-11-08,-1.1428571428571428,3.857142857142857,15.0,-11.714285714285714,-18.857142857142858,3.5714285714285716,2021-45,Southern Ostrobothnia
2021-11-15,-5.428571428571429,2.4285714285714284,12.285714285714286,-16.142857142857142,-19.142857142857142,3.7142857142857144,2021-46,Southern Ostrobothnia
2021-11-22,-4.142857142857143,2.7142857142857144,3.2857142857142856,-15.0,-20.285714285714285,4.714285714285714,2021-47,Southern Ostrobothnia
2021-11-29,-11.285714285714286,6.285714285714286,7.142857142857143,-18.714285714285715,-29.571428571428573,7.285714285714286,2021-48,Southern Ostrobothnia
2021-12-06,0.2857142857142857,7.285714285714286,8.571428571428571,-18.0,-16.571428571428573,5.285714285714286,2021-49,Southern Ostrobothnia
2021-12-13,12.285714285714286,17.571428571428573,8.714285714285714,-17.0,-17.714285714285715,4.714285714285714,2021-50,Southern Ostrobothnia
2021-12-20,-11.0,5.714285714285714,10.714285714285714,-13.857142857142858,-48.42857142857143,10.857142857142858,2021-51,Southern Ostrobothnia
2021-12-27,-3.75,11.75,0.0,-20.25,-54.25,13.25,2021-52,Southern Ostrobothnia
2020-12-28,-35.75,-15.5,47.5,-47.0,-33.25,11.25,2020-53,Southern Savonia
2021-01-04,-27.0,-10.142857142857142,21.428571428571427,-48.857142857142854,-22.571428571428573,9.857142857142858,2021-1,Southern Savonia
2021-01-11,-25.285714285714285,-11.714285714285714,-4.714285714285714,-48.42857142857143,-11.571428571428571,8.285714285714286,2021-2,Southern Savonia
2021-01-18,-24.571428571428573,-9.142857142857142,11.714285714285714,-43.42857142857143,-11.142857142857142,6.142857142857143,2021-3,Southern Savonia
2021-01-25,-24.0,-7.142857142857143,14.0,-43.0,-11.0,6.428571428571429,2021-4,Southern Savonia
2021-02-01,-25.0,-7.142857142857143,10.428571428571429,-47.0,-12.714285714285714,7.571428571428571,2021-5,Southern Savonia
2021-02-08,-21.857142857142858,-3.5714285714285716,10.142857142857142,-43.42857142857143,-11.142857142857142,6.714285714285714,2021-6,Southern Savonia
2021-02-15,-25.428571428571427,-4.285714285714286,9.285714285714286,-39.42857142857143,-12.571428571428571,7.857142857142857,2021-7,Southern Savonia
2021-02-22,-23.285714285714285,0.8571428571428571,37.714285714285715,-40.142857142857146,-19.142857142857142,8.0,2021-8,Southern Savonia
2021-03-01,-27.428571428571427,-1.0,36.714285714285715,-44.714285714285715,-30.142857142857142,9.142857142857142,2021-9,Southern Savonia
2021-03-08,-40.57142857142857,-0.5714285714285714,16.857142857142858,-48.285714285714285,-23.0,10.0,2021-10,Southern Savonia
2021-03-15,-37.857142857142854,-1.4285714285714286,33.285714285714285,-49.142857142857146,-22.142857142857142,8.714285714285714,2021-11,Southern Savonia
2021-03-22,-33.857142857142854,2.5714285714285716,43.0,-48.142857142857146,-20.142857142857142,7.714285714285714,2021-12,Southern Savonia
2021-03-29,-34.142857142857146,12.0,112.57142857142857,-40.714285714285715,-36.857142857142854,9.0,2021-13,Southern Savonia
2021-04-05,-27.0,7.142857142857143,35.142857142857146,-39.42857142857143,-16.0,7.142857142857143,2021-14,Southern Savonia
2021-04-12,-17.714285714285715,14.0,57.714285714285715,-34.142857142857146,-11.285714285714286,4.0,2021-15,Southern Savonia
2021-04-19,-11.285714285714286,10.142857142857142,50.285714285714285,-36.0,-9.0,5.0,2021-16,Southern Savonia
2021-04-26,-8.285714285714286,14.857142857142858,83.85714285714286,-32.714285714285715,-10.142857142857142,3.0,2021-17,Southern Savonia
2021-05-03,-1.2857142857142858,18.285714285714285,44.714285714285715,-29.714285714285715,-5.285714285714286,3.142857142857143,2021-18,Southern Savonia
2021-05-10,12.857142857142858,39.142857142857146,62.57142857142857,-16.857142857142858,-19.714285714285715,0.14285714285714285,2021-19,Southern Savonia
2021-05-17,2.857142857142857,22.0,61.142857142857146,-28.142857142857142,-4.142857142857143,1.4285714285714286,2021-20,Southern Savonia
2021-05-24,9.571428571428571,27.428571428571427,68.85714285714286,-17.571428571428573,-3.7142857142857144,0.42857142857142855,2021-21,Southern Savonia
2021-05-31,23.428571428571427,42.714285714285715,80.85714285714286,-10.0,-1.7142857142857142,-2.142857142857143,2021-22,Southern Savonia
2021-06-07,27.285714285714285,45.0,76.71428571428571,-6.142857142857143,-16.714285714285715,-1.7142857142857142,2021-23,Southern Savonia
2021-06-14,32.857142857142854,51.857142857142854,0.0,-4.714285714285714,-17.571428571428573,-2.7142857142857144,2021-24,Southern Savonia
2021-06-21,33.57142857142857,73.85714285714286,0.0,14.714285714285714,-32.285714285714285,-3.142857142857143,2021-25,Southern Savonia
2021-06-28,51.285714285714285,67.57142857142857,0.0,2.2857142857142856,-21.0,-2.857142857142857,2021-26,Southern Savonia
2021-07-05,59.57142857142857,78.71428571428571,0.0,5.714285714285714,-22.571428571428573,-2.142857142857143,2021-27,Southern Savonia
2021-07-12,66.71428571428571,82.28571428571429,0.0,12.285714285714286,-22.428571428571427,-2.0,2021-28,Southern Savonia
2021-07-19,62.142857142857146,76.71428571428571,0.0,13.142857142857142,-20.571428571428573,-0.42857142857142855,2021-29,Southern Savonia
2021-07-26,48.857142857142854,61.57142857142857,86.42857142857143,8.714285714285714,-19.142857142857142,0.0,2021-30,Southern Savonia
2021-08-02,39.42857142857143,48.714285714285715,82.14285714285714,1.2857142857142858,-13.428571428571429,0.14285714285714285,2021-31,Southern Savonia
2021-08-09,26.142857142857142,40.0,60.857142857142854,-1.2857142857142858,-6.571428571428571,-0.8571428571428571,2021-32,Southern Savonia
2021-08-16,18.857142857142858,30.714285714285715,68.14285714285714,-5.0,-4.571428571428571,0.2857142857142857,2021-33,Southern Savonia
2021-08-23,12.571428571428571,26.857142857142858,73.57142857142857,-7.571428571428571,-1.2857142857142858,-0.7142857142857143,2021-34,Southern Savonia
2021-08-30,10.142857142857142,23.857142857142858,71.28571428571429,-12.571428571428571,0.5714285714285714,0.2857142857142857,2021-35,Southern Savonia
2021-09-06,6.428571428571429,19.571428571428573,47.857142857142854,-12.285714285714286,-0.2857142857142857,0.2857142857142857,2021-36,Southern Savonia
2021-09-13,3.857142857142857,16.714285714285715,72.28571428571429,-15.428571428571429,-3.4285714285714284,0.2857142857142857,2021-37,Southern Savonia
2021-09-20,2.857142857142857,13.857142857142858,58.0,-14.714285714285714,-4.0,0.8571428571428571,2021-38,Southern Savonia
2021-09-27,4.0,11.0,78.85714285714286,-19.428571428571427,-7.142857142857143,0.2857142857142857,2021-39,Southern Savonia
2021-10-04,-1.8571428571428572,8.0,64.57142857142857,-22.0,-9.714285714285714,1.5714285714285714,2021-40,Southern Savonia
2021-10-11,3.2857142857142856,10.0,61.57142857142857,-19.571428571428573,-10.857142857142858,2.142857142857143,2021-41,Southern Savonia
2021-10-18,1.0,8.142857142857142,52.285714285714285,-17.714285714285715,-14.571428571428571,3.0,2021-42,Southern Savonia
2021-10-25,-0.42857142857142855,4.857142857142857,64.28571428571429,-20.714285714285715,-20.142857142857142,2.142857142857143,2021-43,Southern Savonia
2021-11-01,-3.857142857142857,4.714285714285714,65.0,-27.285714285714285,-12.428571428571429,3.2857142857142856,2021-44,Southern Savonia
2021-11-08,-1.4285714285714286,4.857142857142857,47.714285714285715,-22.428571428571427,-10.714285714285714,3.4285714285714284,2021-45,Southern Savonia
2021-11-15,-4.428571428571429,3.142857142857143,43.142857142857146,-25.285714285714285,-12.142857142857142,3.7142857142857144,2021-46,Southern Savonia
2021-11-22,-1.8571428571428572,3.142857142857143,28.142857142857142,-26.857142857142858,-12.857142857142858,4.714285714285714,2021-47,Southern Savonia
2021-11-29,-8.571428571428571,3.142857142857143,27.0,-32.57142857142857,-23.285714285714285,7.285714285714286,2021-48,Southern Savonia
2021-12-06,-3.0,5.714285714285714,18.142857142857142,-28.571428571428573,-10.571428571428571,5.571428571428571,2021-49,Southern Savonia
2021-12-13,2.0,13.142857142857142,19.714285714285715,-30.0,-12.0,5.142857142857143,2021-50,Southern Savonia
2021-12-20,-22.142857142857142,3.0,41.285714285714285,-26.571428571428573,-41.142857142857146,10.285714285714286,2021-51,Southern Savonia
2021-12-27,-15.25,11.0,75.75,-36.0,-42.75,12.25,2021-52,Southern Savonia
2020-12-28,-19.0,-12.75,16.75,-15.25,-34.0,8.75,2020-53,Kainuu
2021-01-04,-16.0,-8.857142857142858,-7.142857142857143,-42.857142857142854,-24.571428571428573,7.571428571428571,2021-1,Kainuu
2021-01-11,-19.571428571428573,-10.428571428571429,-11.714285714285714,-42.857142857142854,-11.714285714285714,6.428571428571429,2021-2,Kainuu
2021-01-18,-17.857142857142858,-8.285714285714286,0.5714285714285714,-40.714285714285715,-10.142857142857142,5.0,2021-3,Kainuu
2021-01-25,-13.571428571428571,-4.142857142857143,3.142857142857143,-32.714285714285715,-9.714285714285714,4.571428571428571,2021-4,Kainuu
2021-02-01,-10.285714285714286,-1.8571428571428572,-1.7142857142857142,-33.142857142857146,-10.571428571428571,5.285714285714286,2021-5,Kainuu
2021-02-08,-8.428571428571429,1.4285714285714286,-9.285714285714286,-37.42857142857143,-9.142857142857142,5.285714285714286,2021-6,Kainuu
2021-02-15,-6.714285714285714,2.857142857142857,-7.714285714285714,-24.142857142857142,-8.0,5.285714285714286,2021-7,Kainuu
2021-02-22,2.857142857142857,8.714285714285714,10.571428571428571,-21.428571428571427,-7.857142857142857,4.571428571428571,2021-8,Kainuu
2021-03-01,3.7142857142857144,11.285714285714286,4.428571428571429,-27.571428571428573,-11.857142857142858,4.571428571428571,2021-9,Kainuu
2021-03-08,-1.0,12.714285714285714,8.857142857142858,-34.57142857142857,-27.857142857142858,6.285714285714286,2021-10,Kainuu
2021-03-15,-4.428571428571429,9.857142857142858,7.571428571428571,-42.714285714285715,-7.714285714285714,4.285714285714286,2021-11,Kainuu
2021-03-22,-2.7142857142857144,12.428571428571429,7.285714285714286,-32.57142857142857,-8.285714285714286,3.7142857142857144,2021-12,Kainuu
2021-03-29,-3.4285714285714284,19.714285714285715,0.0,-39.142857142857146,-28.571428571428573,6.0,2021-13,Kainuu
2021-04-05,3.142857142857143,13.285714285714286,3.7142857142857144,-22.714285714285715,-6.428571428571429,4.0,2021-14,Kainuu
2021-04-12,2.7142857142857144,15.285714285714286,0.0,-20.857142857142858,-6.0,2.5714285714285716,2021-15,Kainuu
2021-04-19,-2.0,11.571428571428571,-1.0,-30.857142857142858,-4.0,3.4285714285714284,2021-16,Kainuu
2021-04-26,-5.0,9.285714285714286,12.428571428571429,-18.428571428571427,-7.428571428571429,2.7142857142857144,2021-17,Kainuu
2021-05-03,2.0,11.571428571428571,3.0,-26.857142857142858,-3.2857142857142856,3.2857142857142856,2021-18,Kainuu
2021-05-10,10.428571428571429,22.142857142857142,0.0,-16.142857142857142,-18.0,1.5714285714285714,2021-19,Kainuu
2021-05-17,7.0,15.428571428571429,0.0,-17.857142857142858,-3.7142857142857144,1.5714285714285714,2021-20,Kainuu
